year,state,congressional_district,party,candidatevotes,totalvotes,state_district
1976,Alabama,1,REPUBLICAN,98257,157170,alabama_1
1976,Alabama,2,REPUBLICAN,90069,156362,alabama_2
1976,Alabama,3,DEMOCRAT,106935,108048,alabama_3
1976,Alabama,4,DEMOCRAT,141490,176022,alabama_4
1976,Alabama,5,DEMOCRAT,113553,113560,alabama_5
1976,Alabama,6,REPUBLICAN,92113,162518,alabama_6
1976,Alabama,7,DEMOCRAT,110496,110501,alabama_7
1976,Alaska,0,REPUBLICAN,83722,118208,alaska_0
1976,Arizona,1,REPUBLICAN,96397,168119,arizona_1
1976,Arizona,2,DEMOCRAT,106054,182128,arizona_2
1976,Arizona,3,DEMOCRAT,88854,187165,arizona_3
1976,Arizona,4,REPUBLICAN,93154,191590,arizona_4
1976,Arkansas,1,DEMOCRAT,116217,168782,arkansas_1
1976,Arkansas,2,DEMOCRAT,144780,167607,arkansas_2
1976,California,1,DEMOCRAT,160477,217016,california_1
1976,California,2,REPUBLICAN,121290,216563,california_2
1976,California,3,DEMOCRAT,139779,191854,california_3
1976,California,4,DEMOCRAT,75844,151037,california_4
1976,California,5,DEMOCRAT,103746,167754,california_5
1976,California,6,DEMOCRAT,86493,130916,california_6
1976,California,7,DEMOCRAT,147064,196816,california_7
1976,California,8,DEMOCRAT,122342,196954,california_8
1976,California,9,DEMOCRAT,116398,164391,california_9
1976,California,10,DEMOCRAT,111992,155443,california_10
1976,California,11,DEMOCRAT,107618,176194,california_11
1976,California,12,REPUBLICAN,130332,196857,california_12
1976,California,13,DEMOCRAT,135291,202611,california_13
1976,California,14,DEMOCRAT,123285,169959,california_14
1976,California,15,DEMOCRAT,92735,128435,california_15
1976,California,16,DEMOCRAT,104545,195705,california_16
1976,California,17,DEMOCRAT,103898,158168,california_17
1976,California,18,REPUBLICAN,101658,158341,california_18
1976,California,19,REPUBLICAN,124201,192923,california_19
1976,California,20,REPUBLICAN,146158,217351,california_20
1976,California,21,DEMOCRAT,101837,153109,california_21
1976,California,22,REPUBLICAN,114769,183312,california_22
1976,California,23,DEMOCRAT,130619,217053,california_23
1976,California,24,DEMOCRAT,108296,159774,california_24
1976,California,25,DEMOCRAT,57966,80625,california_25
1976,California,26,REPUBLICAN,112619,171712,california_26
1976,California,27,REPUBLICAN,114623,209611,california_27
1976,California,28,DEMOCRAT,114612,142915,california_28
1976,California,29,DEMOCRAT,82515,96602,california_29
1976,California,30,DEMOCRAT,82767,111270,california_30
1976,California,31,DEMOCRAT,83155,83155,california_31
1976,California,32,DEMOCRAT,92034,127428,california_32
1976,California,33,REPUBLICAN,95398,173205,california_33
1976,California,34,DEMOCRAT,100988,199135,california_34
1976,California,35,DEMOCRAT,87472,164237,california_35
1976,California,36,DEMOCRAT,90830,147556,california_36
1976,California,37,REPUBLICAN,133634,188007,california_37
1976,California,38,DEMOCRAT,103317,162409,california_38
1976,California,39,REPUBLICAN,122657,209402,california_39
1976,California,40,REPUBLICAN,148512,250644,california_40
1976,California,41,REPUBLICAN,128784,223374,california_41
1976,California,42,DEMOCRAT,103062,135627,california_42
1976,California,43,REPUBLICAN,173576,267051,california_43
1976,Colorado,1,DEMOCRAT,103037,193610,colorado_1
1976,Colorado,2,DEMOCRAT,121340,240278,colorado_2
1976,Colorado,3,DEMOCRAT,89302,175232,colorado_3
1976,Colorado,4,REPUBLICAN,119458,221018,colorado_4
1976,Colorado,5,REPUBLICAN,126784,190851,colorado_5
1976,Connecticut,1,DEMOCRAT,128479,225076,connecticut_1
1976,Connecticut,2,DEMOCRAT,142684,219308,connecticut_2
1976,Connecticut,3,DEMOCRAT,121623,222643,connecticut_3
1976,Connecticut,4,REPUBLICAN,126314,207058,connecticut_4
1976,Connecticut,5,REPUBLICAN,157009,236087,connecticut_5
1976,Connecticut,6,DEMOCRAT,134914,238300,connecticut_6
1976,Delaware,0,REPUBLICAN,110636,215085,delaware_0
1976,Florida,5,REPUBLICAN,138371,234631,florida_5
1976,Florida,6,REPUBLICAN,151371,232218,florida_6
1976,Florida,7,DEMOCRAT,102739,156338,florida_7
1976,Florida,8,DEMOCRAT,103360,178154,florida_8
1976,Florida,9,REPUBLICAN,130509,167139,florida_9
1976,Florida,10,REPUBLICAN,164273,247686,florida_10
1976,Florida,11,DEMOCRAT,199031,218437,florida_11
1976,Florida,12,REPUBLICAN,107268,199076,florida_12
1976,Florida,13,DEMOCRAT,127822,163179,florida_13
1976,Florida,14,DEMOCRAT,82665,113439,florida_14
1976,Florida,15,DEMOCRAT,121292,172233,florida_15
1976,Georgia,1,DEMOCRAT,73826,73888,georgia_1
1976,Georgia,2,DEMOCRAT,95807,96026,georgia_2
1976,Georgia,3,DEMOCRAT,93174,105004,georgia_3
1976,Georgia,4,DEMOCRAT,110261,161412,georgia_4
1976,Georgia,5,DEMOCRAT,96056,144063,georgia_5
1976,Georgia,6,DEMOCRAT,77532,149944,georgia_6
1976,Georgia,7,DEMOCRAT,84587,153554,georgia_7
1976,Georgia,8,DEMOCRAT,90559,130186,georgia_8
1976,Georgia,9,DEMOCRAT,113245,143357,georgia_9
1976,Georgia,10,DEMOCRAT,94782,94864,georgia_10
1976,Hawaii,1,DEMOCRAT,60050,137602,hawaii_1
1976,Hawaii,2,DEMOCRAT,124116,156099,hawaii_2
1976,Idaho,1,REPUBLICAN,95833,175495,idaho_1
1976,Idaho,2,REPUBLICAN,84175,166412,idaho_2
1976,Illinois,1,DEMOCRAT,126632,137193,illinois_1
1976,Illinois,2,DEMOCRAT,127297,150335,illinois_2
1976,Illinois,3,DEMOCRAT,115591,196365,illinois_3
1976,Illinois,4,REPUBLICAN,124847,189772,illinois_4
1976,Illinois,5,DEMOCRAT,119336,155092,illinois_5
1976,Illinois,6,REPUBLICAN,106667,176027,illinois_6
1976,Illinois,7,DEMOCRAT,88239,104094,illinois_7
1976,Illinois,8,DEMOCRAT,105595,131107,illinois_8
1976,Illinois,9,DEMOCRAT,121915,168983,illinois_9
1976,Illinois,10,DEMOCRAT,106804,213414,illinois_10
1976,Illinois,11,DEMOCRAT,135755,201440,illinois_11
1976,Illinois,12,REPUBLICAN,151899,208553,illinois_12
1976,Illinois,13,REPUBLICAN,109726,164266,illinois_13
1976,Illinois,14,REPUBLICAN,176076,236588,illinois_14
1976,Illinois,15,REPUBLICAN,102555,190231,illinois_15
1976,Illinois,16,REPUBLICAN,114324,168328,illinois_16
1976,Illinois,17,REPUBLICAN,113145,194365,illinois_17
1976,Illinois,18,REPUBLICAN,108028,187130,illinois_18
1976,Illinois,19,REPUBLICAN,132571,193539,illinois_19
1976,Illinois,20,REPUBLICAN,137223,215857,illinois_20
1976,Illinois,21,REPUBLICAN,137037,184035,illinois_21
1976,Illinois,22,DEMOCRAT,129187,210289,illinois_22
1976,Illinois,23,DEMOCRAT,128113,162938,illinois_23
1976,Illinois,24,DEMOCRAT,152344,226110,illinois_24
1976,Indiana,1,DEMOCRAT,121155,169911,indiana_1
1976,Indiana,2,DEMOCRAT,117617,214845,indiana_2
1976,Indiana,3,DEMOCRAT,101777,178871,indiana_3
1976,Indiana,4,REPUBLICAN,107762,198183,indiana_4
1976,Indiana,5,REPUBLICAN,127194,206001,indiana_5
1976,Indiana,6,DEMOCRAT,105773,192627,indiana_6
1976,Indiana,7,REPUBLICAN,130005,207360,indiana_7
1976,Indiana,8,DEMOCRAT,109013,216026,indiana_8
1976,Indiana,9,DEMOCRAT,136056,136056,indiana_9
1976,Indiana,10,DEMOCRAT,114559,191449,indiana_10
1976,Indiana,11,DEMOCRAT,115895,191859,indiana_11
1976,Iowa,1,REPUBLICAN,109694,211204,iowa_1
1976,Iowa,2,DEMOCRAT,102980,204550,iowa_2
1976,Iowa,3,REPUBLICAN,117957,208938,iowa_3
1976,Iowa,4,DEMOCRAT,145343,210356,iowa_4
1976,Iowa,5,DEMOCRAT,135600,209052,iowa_5
1976,Iowa,6,DEMOCRAT,133507,198002,iowa_6
1976,Kansas,1,REPUBLICAN,142311,194772,kansas_1
1976,Kansas,2,DEMOCRAT,88645,174861,kansas_2
1976,Kansas,3,REPUBLICAN,123578,179865,kansas_3
1976,Kansas,4,DEMOCRAT,90067,179168,kansas_4
1976,Kansas,5,REPUBLICAN,109573,180625,kansas_5
